name,wins,year
Akın Barhan,NA,1970
Abdullah Avcı,NA,1971
Abdullah Ercan,NA,1971
Abdullah Matay,NA,1971
Adem Çağlayan,NA,1971
Adnan Dinçer,NA,1971
Adnan Örnek,NA,1971
Adnan Şentürk,NA,1971
Adolf Remy,NA,1971
Ahmet Akcan,NA,1971
Ahmet Asena,NA,1971
Ahmet Birdal,NA,1971
Ahmet Kazım Ertem,NA,1971
Ahmet Özen,NA,1971
Ahmet Suat Özyazıcı,NA,1971
Ahmet Ziya Yüce,NA,1971
Akın Barhan,NA,1971
Abdullah Avcı,NA,1972
Abdullah Ercan,NA,1972
Adem Çağlayan,NA,1972
Adnan Dinçer,NA,1972
Adnan Örnek,NA,1972
Adnan Şentürk,NA,1972
Adolf Remy,NA,1972
Ahmet Akcan,NA,1972
Ahmet Asena,NA,1972
Ahmet Birdal,NA,1972
Ahmet Kazım Ertem,NA,1972
Ahmet Özen,NA,1972
Ahmet Suat Özyazıcı,NA,1972
Ahmet Ziya Yüce,NA,1972
Akın Barhan,NA,1972
Abdullah Avcı,NA,1973
Abdullah Ercan,NA,1973
Adem Çağlayan,NA,1973
Adnan Dinçer,NA,1973
Adnan Örnek,NA,1973
Adnan Şentürk,NA,1973
Adolf Remy,NA,1973
Ahmet Akcan,NA,1973
Ahmet Asena,NA,1973
Ahmet Birdal,NA,1973
Ahmet Kazım Ertem,NA,1973
Ahmet Özen,NA,1973
Ahmet Suat Özyazıcı,NA,1973
Ahmet Ziya Yüce,NA,1973
Abdullah Avcı,NA,1974
Abdullah Ercan,NA,1974
Adem Çağlayan,NA,1974
Adnan Dinçer,NA,1974
Adnan Örnek,NA,1974
Adnan Şentürk,NA,1974
Adolf Remy,NA,1974
Ahmet Akcan,NA,1974
Ahmet Asena,NA,1974
Ahmet Birdal,NA,1974
Ahmet Kazım Ertem,NA,1974
Ahmet Özen,NA,1974
Ahmet Suat Özyazıcı,NA,1974
Ahmet Ziya Yüce,NA,1974
Abdullah Avcı,NA,1975
Abdullah Ercan,NA,1975
Adem Çağlayan,NA,1975
Adnan Dinçer,NA,1975
Adnan Örnek,NA,1975
Adnan Şentürk,NA,1975
Adolf Remy,NA,1975
Ahmet Akcan,NA,1975
Ahmet Asena,NA,1975
Ahmet Birdal,NA,1975
Ahmet Kazım Ertem,NA,1975
Ahmet Özen,NA,1975
Ahmet Ziya Yüce,NA,1975
Abdullah Avcı,NA,1976
Abdullah Ercan,NA,1976
Adem Çağlayan,NA,1976
Adnan Dinçer,NA,1976
Adnan Örnek,NA,1976
Adnan Şentürk,NA,1976
Adolf Remy,NA,1976
Ahmet Akcan,NA,1976
Ahmet Asena,NA,1976
Ahmet Birdal,NA,1976
Ahmet Kazım Ertem,NA,1976
Ahmet Özen,NA,1976
Ahmet Ziya Yüce,NA,1976
Abdullah Avcı,NA,1977
Abdullah Ercan,NA,1977
Adem Çağlayan,NA,1977
Adnan Dinçer,NA,1977
Adnan Örnek,NA,1977
Adnan Şentürk,NA,1977
Adolf Remy,NA,1977
Ahmet Akcan,NA,1977
Ahmet Asena,NA,1977
Ahmet Birdal,NA,1977
Ahmet Kazım Ertem,NA,1977
Ahmet Özen,NA,1977
Ahmet Ziya Yüce,NA,1977
Abdullah Avcı,NA,1978
Abdullah Ercan,NA,1978
Adem Çağlayan,NA,1978
Adnan Dinçer,NA,1978
Adnan Örnek,NA,1978
Adnan Şentürk,NA,1978
Adolf Remy,NA,1978
Ahmet Akcan,NA,1978
Ahmet Asena,NA,1978
Ahmet Birdal,NA,1978
Ahmet Kazım Ertem,NA,1978
Ahmet Özen,NA,1978
Ahmet Ziya Yüce,NA,1978
Abdullah Avcı,NA,1979
Abdullah Ercan,NA,1979
Adem Çağlayan,NA,1979
Adnan Dinçer,NA,1979
Adnan Örnek,NA,1979
Adnan Şentürk,NA,1979
Adolf Remy,NA,1979
Ahmet Akcan,NA,1979
Ahmet Asena,NA,1979
Ahmet Birdal,NA,1979
Ahmet Kazım Ertem,NA,1979
Ahmet Özen,NA,1979
Ahmet Ziya Yüce,NA,1979
Abdullah Avcı,NA,1980
Abdullah Ercan,NA,1980
Adem Çağlayan,NA,1980
Adnan Dinçer,NA,1980
Adnan Örnek,NA,1980
Adnan Şentürk,NA,1980
Adolf Remy,NA,1980
Ahmet Akcan,NA,1980
Ahmet Asena,NA,1980
Ahmet Birdal,NA,1980
Ahmet Kazım Ertem,NA,1980
Ahmet Özen,NA,1980
Ahmet Ziya Yüce,NA,1980
Abdullah Avcı,NA,1981
Abdullah Ercan,NA,1981
Adem Çağlayan,NA,1981
Adnan Dinçer,NA,1981
Adnan Örnek,NA,1981
Adnan Şentürk,NA,1981
Adolf Remy,NA,1981
Ahmet Akcan,NA,1981
Ahmet Asena,NA,1981
Ahmet Birdal,NA,1981
Ahmet Kazım Ertem,NA,1981
Ahmet Özen,NA,1981
Ahmet Ziya Yüce,NA,1981
Abdullah Avcı,NA,1982
Abdullah Ercan,NA,1982
Adem Çağlayan,NA,1982
Adnan Dinçer,NA,1982
Adnan Örnek,NA,1982
Adnan Şentürk,NA,1982
Adolf Remy,NA,1982
Ahmet Akcan,NA,1982
Ahmet Asena,NA,1982
Ahmet Birdal,NA,1982
Ahmet Kazım Ertem,NA,1982
Ahmet Özen,NA,1982
Ahmet Ziya Yüce,NA,1982
Abdullah Avcı,NA,1983
Abdullah Ercan,NA,1983
Adem Çağlayan,NA,1983
Adnan Örnek,NA,1983
Adnan Şentürk,NA,1983
Adolf Remy,NA,1983
Ahmet Akcan,NA,1983
Ahmet Asena,NA,1983
Ahmet Birdal,NA,1983
Ahmet Kazım Ertem,NA,1983
Ahmet Özen,NA,1983
Ahmet Ziya Yüce,NA,1983
Abdullah Avcı,NA,1984
Abdullah Ercan,NA,1984
Adem Çağlayan,NA,1984
Adnan Örnek,NA,1984
Adnan Şentürk,NA,1984
Adolf Remy,NA,1984
Ahmet Akcan,NA,1984
Ahmet Asena,NA,1984
Ahmet Birdal,NA,1984
Ahmet Kazım Ertem,NA,1984
Ahmet Özen,NA,1984
Ahmet Ziya Yüce,NA,1984
Abdullah Avcı,NA,1985
Abdullah Ercan,NA,1985
Adem Çağlayan,NA,1985
Adnan Örnek,NA,1985
Adnan Şentürk,NA,1985
Adolf Remy,NA,1985
Ahmet Akcan,NA,1985
Ahmet Asena,NA,1985
Ahmet Birdal,NA,1985
Ahmet Kazım Ertem,NA,1985
Ahmet Özen,NA,1985
Ahmet Ziya Yüce,NA,1985
Abdullah Avcı,NA,1986
Abdullah Ercan,NA,1986
Adem Çağlayan,NA,1986
Adnan Örnek,NA,1986
Adnan Şentürk,NA,1986
Adolf Remy,NA,1986
Ahmet Akcan,NA,1986
Ahmet Asena,NA,1986
Ahmet Birdal,NA,1986
Ahmet Kazım Ertem,NA,1986
Ahmet Özen,NA,1986
Ahmet Ziya Yüce,NA,1986
Abdullah Avcı,NA,1987
Abdullah Ercan,NA,1987
Adem Çağlayan,NA,1987
Adnan Örnek,NA,1987
Adnan Şentürk,NA,1987
Adolf Remy,NA,1987
Ahmet Akcan,NA,1987
Ahmet Kazım Ertem,NA,1987
Ahmet Özen,NA,1987
Ahmet Ziya Yüce,NA,1987
Abdullah Avcı,NA,1988
Abdullah Ercan,NA,1988
Adem Çağlayan,NA,1988
Adnan Örnek,NA,1988
Adnan Şentürk,NA,1988
Ahmet Akcan,NA,1988
Ahmet Kazım Ertem,NA,1988
Ahmet Özen,NA,1988
Ahmet Ziya Yüce,NA,1988
Abdullah Avcı,NA,1989
Abdullah Ercan,NA,1989
Adem Çağlayan,NA,1989
Adnan Örnek,NA,1989
Adnan Şentürk,NA,1989
Ahmet Akcan,NA,1989
Ahmet Kazım Ertem,NA,1989
Ahmet Özen,NA,1989
Ahmet Ziya Yüce,NA,1989
Abdullah Avcı,NA,1990
Abdullah Ercan,NA,1990
Adem Çağlayan,NA,1990
Adnan Örnek,NA,1990
Adnan Şentürk,NA,1990
Ahmet Akcan,NA,1990
Ahmet Kazım Ertem,NA,1990
Ahmet Özen,NA,1990
Ahmet Ziya Yüce,NA,1990
Abdullah Avcı,NA,1991
Abdullah Ercan,NA,1991
Adem Çağlayan,NA,1991
Adnan Örnek,NA,1991
Adnan Şentürk,NA,1991
Ahmet Akcan,NA,1991
Ahmet Kazım Ertem,NA,1991
Ahmet Özen,NA,1991
Ahmet Ziya Yüce,NA,1991
Abdullah Avcı,NA,1992
Abdullah Ercan,NA,1992
Adem Çağlayan,NA,1992
Adnan Örnek,NA,1992
Adnan Şentürk,NA,1992
Ahmet Akcan,NA,1992
Ahmet Kazım Ertem,NA,1992
Ahmet Özen,NA,1992
Ahmet Ziya Yüce,NA,1992
Abdullah Avcı,NA,1993
Abdullah Ercan,NA,1993
Adem Çağlayan,NA,1993
Adnan Örnek,NA,1993
Adnan Şentürk,NA,1993
Ahmet Akcan,NA,1993
Ahmet Kazım Ertem,NA,1993
Ahmet Özen,NA,1993
Ahmet Ziya Yüce,NA,1993
Abdullah Avcı,NA,1994
Abdullah Ercan,NA,1994
Adem Çağlayan,NA,1994
Adnan Örnek,NA,1994
Adnan Şentürk,NA,1994
Ahmet Akcan,NA,1994
Ahmet Kazım Ertem,NA,1994
Ahmet Özen,NA,1994
Ahmet Ziya Yüce,NA,1994
Abdullah Avcı,NA,1995
Abdullah Ercan,NA,1995
Adem Çağlayan,NA,1995
Adnan Örnek,NA,1995
Adnan Şentürk,NA,1995
Ahmet Kazım Ertem,NA,1995
Ahmet Özen,NA,1995
Ahmet Ziya Yüce,NA,1995
Abdullah Avcı,NA,1996
Abdullah Ercan,NA,1996
Adem Çağlayan,NA,1996
Adnan Örnek,NA,1996
Adnan Şentürk,NA,1996
Ahmet Kazım Ertem,NA,1996
Ahmet Özen,NA,1996
Ahmet Ziya Yüce,NA,1996
Abdullah Avcı,NA,1997
Abdullah Ercan,NA,1997
Adem Çağlayan,NA,1997
Adnan Örnek,NA,1997
Adnan Şentürk,NA,1997
Ahmet Kazım Ertem,NA,1997
Ahmet Özen,NA,1997
Ahmet Ziya Yüce,NA,1997
Abdullah Avcı,NA,1998
Abdullah Ercan,NA,1998
Adem Çağlayan,NA,1998
Adnan Örnek,NA,1998
Adnan Şentürk,NA,1998
Ahmet Özen,NA,1998
Ahmet Ziya Yüce,NA,1998
Abdullah Avcı,NA,1999
Abdullah Ercan,NA,1999
Adem Çağlayan,NA,1999
Adnan Örnek,NA,1999
Adnan Şentürk,NA,1999
Ahmet Özen,NA,1999
Ahmet Ziya Yüce,NA,1999
Abdullah Ercan,NA,2000
Adem Çağlayan,NA,2000
Adnan Örnek,NA,2000
Adnan Şentürk,NA,2000
Ahmet Özen,NA,2000
Ahmet Ziya Yüce,NA,2000
Abdullah Ercan,NA,2001
Adem Çağlayan,NA,2001
Adnan Örnek,NA,2001
Adnan Şentürk,NA,2001
Ahmet Özen,NA,2001
Ahmet Ziya Yüce,NA,2001
Abdullah Ercan,NA,2002
Adem Çağlayan,NA,2002
Adnan Örnek,NA,2002
Adnan Şentürk,NA,2002
Ahmet Özen,NA,2002
Ahmet Ziya Yüce,NA,2002
Abdullah Ercan,NA,2003
Adem Çağlayan,NA,2003
Adnan Örnek,NA,2003
Adnan Şentürk,NA,2003
Ahmet Özen,NA,2003
Ahmet Ziya Yüce,NA,2003
Abdullah Ercan,NA,2004
Adem Çağlayan,NA,2004
Adnan Örnek,NA,2004
Adnan Şentürk,NA,2004
Ahmet Özen,NA,2004
Abdullah Ercan,NA,2005
Adem Çağlayan,NA,2005
Adnan Örnek,NA,2005
Ahmet Özen,NA,2005
Abdullah Ercan,NA,2006
Adem Çağlayan,NA,2006
Adnan Örnek,NA,2006
Ahmet Özen,NA,2006
Abdullah Ercan,NA,2007
Adem Çağlayan,NA,2007
Adnan Örnek,NA,2007
Ahmet Özen,NA,2007
Abdullah Ercan,NA,2008
Adem Çağlayan,NA,2008
Adnan Örnek,NA,2008
Ahmet Özen,NA,2008
Abdullah Ercan,NA,2009
Adem Çağlayan,NA,2009
Adnan Örnek,NA,2009
Abdullah Ercan,NA,2010
Adem Çağlayan,NA,2010
Adnan Örnek,NA,2010
Abdullah Ercan,NA,2011
Adem Çağlayan,NA,2011
Adnan Örnek,NA,2011
Adem Çağlayan,NA,2012
Adnan Örnek,NA,2012
Adem Çağlayan,NA,2013
Adnan Örnek,NA,2013
Adem Çağlayan,NA,2014
Adnan Örnek,NA,2014
Adem Çağlayan,NA,2015
Adnan Örnek,NA,2015
Adem Çağlayan,NA,2016
Adnan Örnek,NA,2016
Adem Çağlayan,NA,2017
Adem Çağlayan,NA,2018
