name,wins,year
Adnan Süvari,44,1963
Abdullah Matay,42,1975
Abdullah Avcı,41,2010
Ahmet Suat Özyazıcı,38,1977
Abdullah Matay,37,1974
Adnan Süvari,36,1962
Abdullah Gegic,28,1968
Abdullah Avcı,25,2009
Adnan Süvari,24,1961
Abdullah Matay,23,1973
Ahmet Suat Özyazıcı,20,1976
Adnan Dinçer,19,1995
Adnan Dinçer,19,1996
Adnan Dinçer,19,1997
Adnan Dinçer,19,1998
Adnan Dinçer,19,1999
Adnan Dinçer,19,2000
Adnan Dinçer,19,2001
Adnan Dinçer,19,2002
Adnan Dinçer,19,2003
Adnan Dinçer,19,2004
Adnan Dinçer,19,2005
Adnan Dinçer,19,2006
Adnan Dinçer,19,2007
Adnan Dinçer,19,2008
Adnan Dinçer,19,2009
Adnan Dinçer,19,2010
Adnan Dinçer,19,2011
Adnan Dinçer,19,2012
Adnan Dinçer,19,2013
Adnan Dinçer,19,2014
Adnan Dinçer,19,2015
Adnan Dinçer,19,2016
Adnan Dinçer,19,2017
Adnan Dinçer,19,2018
Adnan Dinçer,19,2019
Abdullah Gegic,17,1967
Adolf Remy,17,1989
Adolf Remy,17,1990
Adolf Remy,17,1991
Adolf Remy,17,1992
Adolf Remy,17,1993
Adolf Remy,17,1994
Adolf Remy,17,1995
Adolf Remy,17,1996
Adolf Remy,17,1997
Adolf Remy,17,1998
Adolf Remy,17,1999
Adolf Remy,17,2000
Adolf Remy,17,2001
Adolf Remy,17,2002
Adolf Remy,17,2003
Adolf Remy,17,2004
Adolf Remy,17,2005
Adolf Remy,17,2006
Adolf Remy,17,2007
Adolf Remy,17,2008
Adolf Remy,17,2009
Adolf Remy,17,2010
Adolf Remy,17,2011
Adolf Remy,17,2012
Adolf Remy,17,2013
Adolf Remy,17,2014
Adolf Remy,17,2015
Adolf Remy,17,2016
Adolf Remy,17,2017
Adolf Remy,17,2018
Adolf Remy,17,2019
Adnan Dinçer,16,1989
Adnan Dinçer,16,1990
Adnan Dinçer,16,1991
Adnan Dinçer,16,1992
Adnan Dinçer,16,1993
Adnan Dinçer,16,1994
Abdullah Matay,15,1972
Adnan Dinçer,15,1987
Adnan Dinçer,15,1988
Adnan Süvari,14,1960
Adnan Dinçer,13,1985
Adnan Dinçer,13,1986
Abdullah Avcı,13,2008
Adolf Remy,12,1988
Ahmet Suat Özyazıcı,9,1975
Ahmet Akcan,8,1999
Ahmet Akcan,8,2000
Ahmet Akcan,8,2001
Ahmet Akcan,8,2002
Ahmet Akcan,8,2003
Ahmet Akcan,8,2004
Ahmet Akcan,8,2005
Ahmet Akcan,8,2006
Ahmet Akcan,8,2007
Ahmet Akcan,8,2008
Ahmet Akcan,8,2009
Ahmet Akcan,8,2010
Ahmet Akcan,8,2011
Ahmet Akcan,8,2012
Ahmet Akcan,8,2013
Ahmet Akcan,8,2014
Ahmet Akcan,8,2015
Ahmet Akcan,8,2016
Ahmet Akcan,8,2017
Ahmet Akcan,8,2018
Ahmet Akcan,8,2019
Ahmet Akcan,7,1995
Ahmet Akcan,7,1996
Ahmet Akcan,7,1997
Ahmet Akcan,7,1998
Ahmet Uludağ,6,1961
Ahmet Uludağ,6,1962
Ahmet Uludağ,6,1963
Ahmet Uludağ,6,1964
Ahmet Uludağ,6,1965
Ahmet Uludağ,6,1966
Ahmet Uludağ,6,1967
Ahmet Uludağ,6,1968
Ahmet Uludağ,6,1969
Ahmet Uludağ,6,1970
Ahmet Uludağ,6,1971
Ahmet Uludağ,6,1972
Ahmet Uludağ,6,1973
Ahmet Uludağ,6,1974
Ahmet Uludağ,6,1975
Ahmet Uludağ,6,1976
Ahmet Uludağ,6,1977
Ahmet Uludağ,6,1978
Ahmet Uludağ,6,1979
Ahmet Uludağ,6,1980
Ahmet Uludağ,6,1981
Ahmet Uludağ,6,1982
Ahmet Uludağ,6,1983
Ahmet Uludağ,6,1984
Ahmet Uludağ,6,1985
Ahmet Uludağ,6,1986
Ahmet Uludağ,6,1987
Ahmet Uludağ,6,1988
Ahmet Uludağ,6,1989
Ahmet Uludağ,6,1990
Ahmet Uludağ,6,1991
Ahmet Uludağ,6,1992
Ahmet Uludağ,6,1993
Ahmet Uludağ,6,1994
Ahmet Uludağ,6,1995
Ahmet Uludağ,6,1996
Ahmet Uludağ,6,1997
Ahmet Uludağ,6,1998
Ahmet Uludağ,6,1999
Ahmet Uludağ,6,2000
Ahmet Uludağ,6,2001
Ahmet Uludağ,6,2002
Ahmet Uludağ,6,2003
Ahmet Uludağ,6,2004
Ahmet Uludağ,6,2005
Ahmet Uludağ,6,2006
Ahmet Uludağ,6,2007
Ahmet Uludağ,6,2008
Ahmet Uludağ,6,2009
Ahmet Uludağ,6,2010
Ahmet Uludağ,6,2011
Ahmet Uludağ,6,2012
Ahmet Uludağ,6,2013
Ahmet Uludağ,6,2014
Ahmet Uludağ,6,2015
Ahmet Uludağ,6,2016
Ahmet Uludağ,6,2017
Ahmet Uludağ,6,2018
Ahmet Uludağ,6,2019
Abdullah Ercan,5,2012
Abdullah Ercan,5,2013
Abdullah Ercan,5,2014
Abdullah Ercan,5,2015
Abdullah Ercan,5,2016
Abdullah Ercan,5,2017
Abdullah Ercan,5,2018
Abdullah Ercan,5,2019
Adnan İncirmen,4,1960
Adnan İncirmen,4,1961
Adnan İncirmen,4,1962
Adnan İncirmen,4,1963
Adnan İncirmen,4,1964
Adnan İncirmen,4,1965
Adnan İncirmen,4,1966
Adnan İncirmen,4,1967
Adnan İncirmen,4,1968
Adnan İncirmen,4,1969
Adnan İncirmen,4,1970
Adnan İncirmen,4,1971
Adnan İncirmen,4,1972
Adnan İncirmen,4,1973
Adnan İncirmen,4,1974
Adnan İncirmen,4,1975
Adnan İncirmen,4,1976
Adnan İncirmen,4,1977
Adnan İncirmen,4,1978
Adnan İncirmen,4,1979
Adnan İncirmen,4,1980
Adnan İncirmen,4,1981
Adnan İncirmen,4,1982
Adnan Dinçer,4,1983
Adnan İncirmen,4,1983
Adnan Dinçer,4,1984
Adnan İncirmen,4,1984
Adnan İncirmen,4,1985
Adnan İncirmen,4,1986
Adnan İncirmen,4,1987
Adnan İncirmen,4,1988
Adnan İncirmen,4,1989
Adnan İncirmen,4,1990
Adnan İncirmen,4,1991
Adnan İncirmen,4,1992
Adnan İncirmen,4,1993
Adnan İncirmen,4,1994
Adnan İncirmen,4,1995
Adnan İncirmen,4,1996
Adnan İncirmen,4,1997
Adnan İncirmen,4,1998
Adnan İncirmen,4,1999
Adnan İncirmen,4,2000
Adnan İncirmen,4,2001
Adnan İncirmen,4,2002
Adnan İncirmen,4,2003
Adnan İncirmen,4,2004
Adnan İncirmen,4,2005
Adnan İncirmen,4,2006
Adnan İncirmen,4,2007
